Municipio;Departamento;MatemÌÁtica;Lenguaje;Promedio;Evaluados
BARRANCABERMEJA;SANTANDER;43.85;46.48;0.502;1952
BETULIA;SANTANDER;42.94;43.39;0.37;47
BOLIVAR;SANTANDER;46.21;48.88;0.639;88
BUCARAMANGA;SANTANDER;49.86;50.02;0.758;4838
CABRERA;SANTANDER;43.59;44.26;0.416;42
CALIFORNIA;SANTANDER;42.13;47.07;0.487;15
CAPITANEJO;SANTANDER;45.55;47.72;0.583;53
CARCASI;SANTANDER;46.46;48.9;0.645;30
CEPITA;SANTANDER;39.92;43.59;0.313;24
CERRITO;SANTANDER;44.51;48;0.571;63
CHARALA;SANTANDER;49.08;49.81;0.734;181
CHARTA;SANTANDER;42.28;45.68;0.439;25
CHIMA;SANTANDER;44.06;47.09;0.529;33
CHIPATA;SANTANDER;43.2;46.78;0.499;45
CIMITARRA;SANTANDER;41.26;44.2;0.364;406
CONCEPCION;SANTANDER;50.08;49.65;0.749;37
CONFINES;SANTANDER;42.53;45.83;0.45;40
CONTRATACION;SANTANDER;47.72;46.48;0.584;90
COROMORO;SANTANDER;42.93;44.65;0.416;66
CURITI;SANTANDER;43.56;45.87;0.474;176
EL CARMEN;SANTANDER;43.05;46.03;0.468;125
EL GUACAMAYO;SANTANDER;47.96;46.96;0.607;23
EL PEÌÔON;SANTANDER;42.73;44.93;0.422;45
EL PLAYON;SANTANDER;43.22;46.03;0.472;155
ENCINO;SANTANDER;45.47;43.19;0.417;32
ENCISO;SANTANDER;52.02;46.45;0.675;53
FLORIAN;SANTANDER;41.85;46.61;0.464;68
FLORIDABLANCA;SANTANDER;47.44;49.09;0.673;1966
GALAN;SANTANDER;41.45;41.79;0.281;56
GAMBITA;SANTANDER;44.54;43.08;0.393;24
GIRON;SANTANDER;45.96;47.81;0.595;1257
GUACA;SANTANDER;43.45;43.76;0.395;29
GUADALUPE;SANTANDER;46.58;47.09;0.582;122
GUAPOTA;SANTANDER;47.43;44.96;0.523;28
GUAVATA;SANTANDER;42.17;44.18;0.383;46
GUEPSA;SANTANDER;45.4;46.86;0.549;50
HATO;SANTANDER;41;45.77;0.415;26
JESUS MARIA;SANTANDER;45.12;44.4;0.453;50
JORDAN;SANTANDER;44.43;38.71;0.232;7
LA BELLEZA;SANTANDER;42.83;46.7;0.488;53
LA PAZ;SANTANDER;44.85;45.79;0.498;49
LANDAZURI;SANTANDER;43.39;46.68;0.499;130
LEBRIJA;SANTANDER;47.96;47.83;0.638;323
LOS SANTOS;SANTANDER;42.31;45.91;0.449;130
MACARAVITA;SANTANDER;45.85;45.65;0.514;40
MALAGA;SANTANDER;49.72;49.4;0.733;381
MATANZA;SANTANDER;41.59;46.02;0.437;62
MOGOTES;SANTANDER;46.09;46.26;0.542;106
MOLAGAVITA;SANTANDER;44.55;45.87;0.495;40
OCAMONTE;SANTANDER;45.17;46.03;0.514;71
OIBA;SANTANDER;46.02;46.94;0.565;197
ONZAGA;SANTANDER;41.15;43.97;0.353;83
PALMAR;SANTANDER;44.24;47.89;0.561;37
PALMAS DEL SOCORRO;SANTANDER;46.39;45.85;0.533;26
PARAMO;SANTANDER;43.27;48.84;0.575;49
PIEDECUESTA;SANTANDER;45.67;47.69;0.585;1558
PINCHOTE;SANTANDER;45.06;46.35;0.523;77
PUENTE NACIONAL;SANTANDER;46.67;47.9;0.613;344
PUERTO PARRA;SANTANDER;42.82;44.17;0.396;61
PUERTO WILCHES;SANTANDER;40.52;42.93;0.302;327
RIONEGRO;SANTANDER;43.57;45.17;0.448;247
SABANA DE TORRES;SANTANDER;44.2;47.14;0.533;294
SAN ANDRES;SANTANDER;44.42;45.4;0.475;146
SAN BENITO;SANTANDER;41.85;44.93;0.403;41
SAN GIL;SANTANDER;48.5;48.93;0.69;649
SAN JOAQUIN;SANTANDER;42.43;44.09;0.385;42
SAN JOSE DE MIRANDA;SANTANDER;53.83;51.52;0.897;23
SAN MIGUEL;SANTANDER;43.64;47.52;0.535;33
SAN VICENTE DE CHUCURI;SANTANDER;43.51;46.96;0.512;448
SANTA BARBARA;SANTANDER;42.17;44.54;0.396;24
SANTA HELENA DEL OPON;SANTANDER;44.71;44.47;0.447;21
SIMACOTA;SANTANDER;44.69;45.77;0.494;89
SOCORRO;SANTANDER;46.85;48.59;0.642;378
SUAITA;SANTANDER;44.83;45.82;0.499;149
SUCRE;SANTANDER;44.57;47.63;0.559;97
SURATA;SANTANDER;51.22;46.22;0.65;36
TONA;SANTANDER;42.14;45.9;0.444;50
VALLE DE SAN JOSE;SANTANDER;44.35;44.9;0.455;80
VELEZ;SANTANDER;47.23;47.82;0.623;257
VETAS;SANTANDER;47.06;47.33;0.601;18
VILLANUEVA;SANTANDER;47.33;46.72;0.585;110
ZAPATOCA;SANTANDER;42.59;45.68;0.446;131
BUENAVISTA;SUCRE;43.86;45.03;0.449;130
CAIMITO;SUCRE;39.63;42.29;0.26;123
CHALAN;SUCRE;41.57;44.57;0.384;21
COLOSO (RICAURTE);SUCRE;37.92;43.11;0.254;100
COROZAL;SUCRE;42.96;45.26;0.439;770
COVEÌÔAS;SUCRE;39.45;42.45;0.262;275
EL ROBLE;SUCRE;40.76;44.54;0.366;63
GALERAS (NUEVA GRANADA);SUCRE;42.96;44.96;0.428;350
GUARANDA;SUCRE;41.34;42.99;0.322;110
LA UNION;SUCRE;41.67;45.56;0.422;156
LOS PALMITOS;SUCRE;41.32;43.25;0.331;276
MAJAGUAL;SUCRE;39.55;41.94;0.246;464
MORROA;SUCRE;44.54;45.53;0.482;112
OVEJAS;SUCRE;40.32;42.95;0.299;337
PALMITO;SUCRE;40.53;43.26;0.314;122
SAMPUES;SUCRE;42.05;44.21;0.381;517
SAN BENITO ABAD;SUCRE;40.83;42.87;0.306;317
SAN JUAN DE BETULIA;SUCRE;41.08;42.65;0.304;192
SAN MARCOS;SUCRE;41.44;44.02;0.361;713
SAN ONOFRE;SUCRE;41.27;43.44;0.337;503
SAN PEDRO;SUCRE;43.82;46.7;0.509;218
SINCE;SUCRE;43.82;45.67;0.472;291
SINCELEJO;SUCRE;44.4;46.59;0.518;2914
SUCRE;SUCRE;41.1;42.79;0.31;193
TOLU;SUCRE;42.9;46.23;0.473;256
TOLUVIEJO;SUCRE;41.33;43.68;0.347;275
ALPUJARRA;TOLIMA;43.8;46.33;0.495;60
ALVARADO;TOLIMA;42.26;45.69;0.439;84
AMBALEMA;TOLIMA;39.87;43.31;0.302;59
ANZOATEGUI;TOLIMA;42.02;45.21;0.417;78
ARMERO (GUAYABAL);TOLIMA;42.45;45.39;0.432;129
ATACO;TOLIMA;42.18;45.88;0.444;140
CAJAMARCA;TOLIMA;44.48;47.75;0.561;149
CARMEN DE APICALA;TOLIMA;42.76;45.4;0.44;114
CASABIANCA;TOLIMA;42.82;46.59;0.484;60
CHAPARRAL;TOLIMA;44.37;46.27;0.505;365
COELLO;TOLIMA;41.99;44.29;0.383;95
COYAIMA;TOLIMA;39.63;41.65;0.237;305
CUNDAY;TOLIMA;41.03;44.25;0.361;118
DOLORES;TOLIMA;43.54;45.46;0.458;98
ESPINAL;TOLIMA;42.11;44.89;0.407;806
FALAN;TOLIMA;43.06;44.92;0.428;98
FLANDES;TOLIMA;40.45;42.1;0.271;242
FRESNO;TOLIMA;42.4;46.03;0.455;272
GUAMO;TOLIMA;40.14;43.92;0.33;427
HERVEO;TOLIMA;43.2;47.34;0.519;73
HONDA;TOLIMA;44.77;46.49;0.522;283
IBAGUE;TOLIMA;44.35;47.61;0.554;5666
ICONONZO;TOLIMA;43.65;46.16;0.486;144
LERIDA;TOLIMA;41.11;44.16;0.359;231
LIBANO;TOLIMA;43.48;46.99;0.512;406
MARIQUITA;TOLIMA;44.41;47.2;0.54;340
MELGAR;TOLIMA;43.66;46.81;0.51;395
MURILLO;TOLIMA;43.72;45.93;0.479;40
NATAGAIMA;TOLIMA;40.6;42.67;0.295;195
ORTEGA;TOLIMA;40.99;44.07;0.354;369
PALOCABILDO;TOLIMA;44.52;46.14;0.504;65
PIEDRAS;TOLIMA;44.11;44.49;0.435;55
PLANADAS;TOLIMA;41.38;44.49;0.377;189
PRADO;TOLIMA;42;44.57;0.393;122
PURIFICACION;TOLIMA;41.05;43.75;0.343;316
RIOBLANCO;TOLIMA;42.31;45.59;0.437;149
RONCESVALLES;TOLIMA;40.02;43.88;0.326;64
ROVIRA;TOLIMA;42.84;45.74;0.454;272
SALDAÌÔA;TOLIMA;40.84;43.59;0.333;176
SAN ANTONIO;TOLIMA;42.74;45.3;0.436;160
SAN LUIS;TOLIMA;43.43;45.26;0.449;152
SANTA ISABEL;TOLIMA;45.9;48.19;0.608;57
SUAREZ;TOLIMA;41.83;44.25;0.378;41
VALLE DE SAN JUAN;TOLIMA;41.7;43.88;0.362;79
VENADILLO;TOLIMA;44.63;46.64;0.524;101
VILLAHERMOSA;TOLIMA;44.92;46.83;0.537;73
VILLARRICA;TOLIMA;42.26;46.54;0.47;68
ALCALA;VALLE;41.87;46.56;0.463;136
ANDALUCIA;VALLE;42.69;47.11;0.5;184
ANSERMANUEVO;VALLE;40.41;45.11;0.379;206
ARGELIA;VALLE;39.49;44.29;0.329;63
BOLIVAR;VALLE;42.37;45.3;0.428;167
BUENAVENTURA;VALLE;40.8;43.76;0.338;2649
BUGA;VALLE;44.22;47.73;0.555;961
BUGALAGRANDE;VALLE;43.11;45.42;0.448;259
CAICEDONIA;VALLE;43.18;46.82;0.5;343
CALI;VALLE;43.89;47.4;0.536;11398
CALIMA (DARIEN);VALLE;44.29;47.36;0.543;191
CANDELARIA;VALLE;43.09;46.49;0.486;635
CARTAGO;VALLE;43.88;46.96;0.52;1324
DAGUA;VALLE;42.76;46.45;0.478;346
EL AGUILA;VALLE;41.56;45.54;0.419;110
EL CAIRO;VALLE;41.21;45.75;0.419;72
EL CERRITO;VALLE;42.3;46.16;0.457;549
EL DOVIO;VALLE;42.68;47.7;0.521;82
FLORIDA;VALLE;42.34;45.51;0.434;607
GINEBRA;VALLE;45.23;48.04;0.588;217
GUACARI;VALLE;41.1;44.37;0.367;396
JAMUNDI;VALLE;41.72;45.99;0.439;914
LA CUMBRE;VALLE;43.83;47.93;0.554;130
LA UNION;VALLE;42.28;45.85;0.446;433
LA VICTORIA;VALLE;41.34;44.67;0.383;179
OBANDO;VALLE;41.72;45.25;0.412;116
PALMIRA;VALLE;45.81;48.6;0.62;2683
PRADERA;VALLE;42.66;45.76;0.45;518
RESTREPO;VALLE;43.48;47.66;0.537;194
RIOFRIO;VALLE;40.75;45.61;0.404;156
ROLDANILLO;VALLE;42.85;48.54;0.555;410
SAN PEDRO;VALLE;41.04;45.4;0.403;170
SEVILLA;VALLE;43.01;46.59;0.488;450
TORO;VALLE;42.43;45.37;0.432;142
TRUJILLO;VALLE;40.69;45.2;0.388;191
TULUA;VALLE;42.9;47.23;0.509;1979
ULLOA;VALLE;44;47.29;0.535;78
VERSALLES;VALLE;41.84;44.69;0.394;74
VIJES;VALLE;41.69;45.06;0.404;108
YOTOCO;VALLE;41.49;45.45;0.414;132
YUMBO;VALLE;42.7;46.12;0.464;992
ZARZAL;VALLE;41.76;45.52;0.422;471
CARURU;VAUPÌäS;40.48;45.2;0.384;25
MITU;VAUPÌäS;40.02;43.77;0.322;261
TARAIRA;VAUPÌäS;40.33;45.06;0.375;18
YAVARATE;VAUPÌäS;37;40.5;0.139;4
CUMARIBO;VICHADA;40.76;42.93;0.308;106
LA PRIMAVERA;VICHADA;41.07;43.82;0.346;84
PUERTO CARREÌÔO;VICHADA;41.45;44.33;0.373;225
SANTA ROSALIA;VICHADA;41.75;42.71;0.32;24
